Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
1,8/27/2019,1002.5,77.93,79.77,94.5,94.5,0.41,9,0.13,19.15,152,10,0.0006,0.0001,270,10,0.89,1
2,8/27/2019,1002.5,77.93,79.84,94.58,94.58,0.41,8.96,0.2,19.32,151,10,0.0015,0.0002,270,10,0.89,1
3,8/27/2019,1002.5,77.27,79.36,94.77,94.77,0.4,8.93,0.13,19.65,151,10,0.0005,0.0001,270,10,0.89,1
4,8/27/2019,1002.4,77.28,79.43,94.82,94.82,0.4,8.87,0.2,19.9,150,10,0.0025,0.0002,270.1,10,0.89,1
5,8/27/2019,1002.5,78.03,79.97,94.34,94.34,0.41,8.99,0.13,19.14,152,10,0.0006,0.0001,270,10,0.89,1
6,8/27/2019,1002.5,77.94,79.8,94.55,94.55,0.42,8.97,0.14,18.94,152,10,0.0006,0.0001,270,10,0.89,1
7,8/27/2019,1002.5,78.18,80.34,94.39,94.39,0.42,9,0.21,19.23,149,10,0.0021,0.0002,270.1,10,0.89,1
8,8/27/2019,1002.4,78.37,80.82,94.28,94.28,0.42,9.13,0.23,19.68,144,10,0.0056,0.0005,270.3,10,0.89,1
9,8/28/2019,1003.6,79.77,79.9,93.75,93.75,0.7,8.34,0.55,17.39,141,8,0.0527,0.0098,270.6,10,0.93,1
10,8/28/2019,1003.6,79.84,79.87,93.77,93.77,0.68,8.19,0.56,15.01,140,8,0.057,0.0107,270.6,10,0.93,1
11,8/28/2019,1003.6,79.77,79.84,93.76,93.76,0.69,8.3,0.55,17.47,141,8,0.0524,0.01,270.6,10,0.93,1
12,8/28/2019,1003.6,79.36,79.45,93.92,93.92,0.68,8.31,0.56,17.59,141,8,0.0507,0.0103,270.6,10,0.93,1
13,8/28/2019,1003.4,79.43,79.5,93.88,93.88,0.68,8.2,0.57,17.74,140,8,0.0594,0.011,270.5,10,0.93,1
14,8/28/2019,1003.5,79.97,79.9,93.57,93.57,0.69,8.31,0.56,17.52,141,8,0.0515,0.0101,270.6,10,0.93,1
15,8/28/2019,1003.7,79.8,79.63,93.81,93.81,0.7,8.24,0.55,15.41,141,8,0.0545,0.0099,270.6,10,0.93,1
16,8/28/2019,1003.5,80.34,79.89,93.24,93.24,0.68,8.02,0.57,17.66,137,8,0.0672,0.0111,270.6,9.953,0.93,1
17,8/28/2019,1003.5,80.82,80.58,92.61,92.61,0.67,7.78,0.58,14.21,132,7,0.0823,0.0124,270.5,9.587,0.93,1
18,8/29/2019,1003.9,79.9,79.23,94.85,94.85,0.67,7.57,0.31,13.88,147,9,0.0082,0.0011,272.3,10,0.97,1
19,8/29/2019,1003.8,79.93,79.33,94.96,94.96,0.68,7.45,0.33,13.95,146,9,0.0121,0.0017,272.5,10,0.97,1
20,8/29/2019,1003.9,79.73,79.23,94.86,94.86,0.67,7.57,0.36,13.94,148,9,0.0081,0.0014,272.4,10,0.97,1
21,8/29/2019,1003.9,79.45,78.71,95.13,95.13,0.68,7.54,0.29,14.19,146,9,0.0072,0.001,272.4,10,0.97,1
22,8/29/2019,1003.7,79.5,78.81,95.2,95.2,0.68,7.45,0.33,14.01,146,9,0.0129,0.0019,272.5,10,0.97,1
23,8/29/2019,1003.8,79.9,79.32,94.6,94.6,0.68,7.53,0.3,14.04,147,9,0.0077,0.0011,272.4,10,0.97,1
24,8/29/2019,1003.9,79.73,79.27,94.9,94.9,0.67,7.48,0.32,13.74,147,9,0.0094,0.0013,272.4,10,0.97,1
25,8/29/2019,1003.8,79.89,79.85,94.81,94.81,0.65,7.21,0.39,13.33,144,9,0.024,0.0033,272.6,10,0.97,1
26,8/29/2019,1003.7,80.37,80.5,94.95,94.95,0.63,6.99,0.46,13.2,141,9,0.0367,0.0051,272.8,9.993,0.97,1
27,8/30/2019,1001.8,79.23,79.81,95.81,95.81,0.81,4.12,0.14,10.82,177,6,0.0013,0.0002,270,10,0.01,1
28,8/30/2019,1001.8,79.33,79.92,95.88,95.88,0.82,4.09,0.14,10.09,179,6,0.0013,0.0002,270,10,0.01,1
29,8/30/2019,1001.8,79.23,79.71,95.85,95.85,0.81,4.04,0.14,10.66,175,6,0.0014,0.0002,270,10,0.01,1
30,8/30/2019,1001.8,78.71,79.42,96.06,96.06,0.82,4.12,0.14,10.59,178,6,0.0012,0.0002,270,10,0.01,1
31,8/30/2019,1001.7,78.81,79.49,96.04,96.04,0.82,4.08,0.14,9.88,180,6,0.0012,0.0002,270,10,0.01,1
32,8/30/2019,1001.7,79.32,79.98,95.59,95.59,0.81,4.11,0.14,10.64,178,6,0.0013,0.0002,270,10,0.01,1
33,8/30/2019,1001.8,79.27,79.75,95.92,95.92,0.81,4.1,0.14,10.62,176,6,0.0015,0.0002,270,10,0.01,1
34,8/30/2019,1001.7,79.85,80.16,95.68,95.68,0.79,4.06,0.15,9.28,183,6,0.002,0.0003,270,10,0.01,1
35,8/30/2019,1001.7,80.5,80.67,95.54,95.54,0.77,4.08,0.16,8,193,7,0.0021,0.0003,270,9.993,0.01,1
36,8/31/2019,1000.7,79.71,80.25,94.13,94.13,0.96,4.04,0.4,8.65,122,6,0.0165,0.0039,266.9,10,0.05,1
37,8/31/2019,1000.6,79.92,80.24,93.78,93.78,0.95,4.17,0.4,11.84,83,6,0.0179,0.0043,266.8,10,0.05,1
38,8/31/2019,1000.7,79.71,80.24,94.03,94.03,0.96,4.05,0.4,8.68,109,6,0.0165,0.0039,266.9,10,0.05,1
39,8/31/2019,1000.6,79.42,79.92,94.08,94.08,0.96,4.15,0.39,12.43,91,6,0.0157,0.0035,266.8,10,0.05,1
40,8/31/2019,1000.3,79.41,79.89,93.74,93.74,0.95,4.14,0.39,8.32,14,6,0.0178,0.0043,267,10,0.05,1
41,8/31/2019,1000.3,79.98,80.43,93.78,93.78,0.96,4.13,0.4,12.43,108,6,0.0162,0.0037,266.8,10,0.05,0
42,8/31/2019,1000.6,79.75,80.29,94.11,94.11,0.96,4.1,0.41,12.34,125,6,0.0173,0.0042,266.8,10,0.05,1
43,8/31/2019,1000.3,80.07,80.55,92.65,92.65,0.92,4.13,0.45,8.07,69,6,0.0244,0.0064,267,10,0.05,1
44,8/31/2019,1000.2,80.67,80.63,91.97,91.97,0.87,4.34,0.49,9.32,339,6,0.0297,0.0081,267,9.969,0.05,1
45,9/1/2019,1001.1,80.25,79.8,93.04,93.04,0.98,6.05,0.57,18.92,154,5,0.0363,0.0065,266.1,9.953,0.09,1
46,9/1/2019,1001,80.24,79.71,93.23,93.23,0.96,5.95,0.54,18.78,157,5,0.0294,0.0053,266.2,10,0.09,1
47,9/1/2019,1001.1,80.24,79.78,93.19,93.19,0.98,6.03,0.55,18.83,154,5,0.0355,0.0059,266.2,9.933,0.09,1
48,9/1/2019,1001.1,79.92,79.36,93.27,93.27,0.97,6.01,0.54,18.73,158,5,0.0311,0.0051,266.2,9.995,0.09,1
49,9/1/2019,1000.6,79.89,79.26,93.27,93.27,0.95,5.94,0.53,18.77,158,5,0.0256,0.0052,266.3,10,0.09,1
50,9/1/2019,1000.7,80.43,79.94,92.78,92.78,0.97,6.04,0.55,18.78,154,5,0.0339,0.0056,266.2,9.957,0.09,1
51,9/1/2019,1001.1,80.29,79.82,93.33,93.33,0.98,6.05,0.56,18.89,150,5,0.0391,0.0064,266.1,9.856,0.09,1
